parentName,nodeName,nodeId,parentId
,Root,0,
Root,Household Activities,1,0
Root,Personal Care,2,0
Root,Eating and drinking Activities,4,0
Root,"Sports, Exercise, and Recreation",5,0
Root,"Socializing, Relaxing, and Leisure",7,0
Household Activities,"Lawn, Garden, and Houseplants",10,1
Household Activities,"Exterior Maintenance, Repair, & Decoration",12,1
Household Activities,Vehicles,13,1
Household Activities,"Interior Maintenance, Repair, & Decoration",15,1
Household Activities,Housework,16,1
Household Activities,Household Management,19,1
Household Activities,Animals and Pets,22,1
Household Activities,"Appliances, Tools, and Toys",367,1
Personal Care,Grooming,20,2
Personal Care,Health-related Self Care,270,2
Eating and drinking Activities,"Food & Drink Prep., Presentation, & Clean-up",18,4
"Sports, Exercise, and Recreation","Participating in Sports, Exercise, or Recreation",17,5
"Socializing, Relaxing, and Leisure",Relaxing and Leisure,11,7
"Socializing, Relaxing, and Leisure",Arts and Entertainment,21,7
"Lawn, Garden, and Houseplants","Lawn, garden, and houseplant care",66,10
Relaxing and Leisure,Tobacco and drug use,28,11
Relaxing and Leisure,Playing games,48,11
"Exterior Maintenance, Repair, & Decoration",Exterior cleaning,51,12
"Exterior Maintenance, Repair, & Decoration","Exterior repair, improvements, & decoration",312,12
"Exterior Maintenance, Repair, & Decoration",Painting fence,336,12
Vehicles,Vehicle repair and maintenance (by self),56,13
"Interior Maintenance, Repair, & Decoration","Interior arrangement, decoration, & repairs",33,15
"Interior Maintenance, Repair, & Decoration",Heating and cooling,34,15
"Interior Maintenance, Repair, & Decoration",Building and repairing furniture,338,15
Housework,Laundry,30,16
Housework,Interior cleaning,37,16
Housework,"Sewing, repairing, & maintaining textiles",45,16
"Participating in Sports, Exercise, or Recreation",Doing gymnastics,24,17
"Participating in Sports, Exercise, or Recreation",Participating in martial arts,27,17
"Participating in Sports, Exercise, or Recreation",Weightlifting,35,17
"Participating in Sports, Exercise, or Recreation",Participating in water sports,42,17
"Participating in Sports, Exercise, or Recreation",Participating in equestrian sports,49,17
"Participating in Sports, Exercise, or Recreation","Climbing, spelunking, caving",50,17
"Participating in Sports, Exercise, or Recreation",Playing basketball,52,17
"Participating in Sports, Exercise, or Recreation",Playing racquet sports ,54,17
"Participating in Sports, Exercise, or Recreation",Doing aerobics,55,17
"Participating in Sports, Exercise, or Recreation",Using cardiovascular equipment,58,17
"Participating in Sports, Exercise, or Recreation",Playing hockey,60,17
"Participating in Sports, Exercise, or Recreation",Playing sports,64,17
"Participating in Sports, Exercise, or Recreation",Wrestling,272,17
"Participating in Sports, Exercise, or Recreation",Biking,275,17
"Participating in Sports, Exercise, or Recreation",Playing soccer,279,17
"Participating in Sports, Exercise, or Recreation",Bowling,284,17
"Participating in Sports, Exercise, or Recreation",Participating in rodeo competitions,289,17
"Participating in Sports, Exercise, or Recreation",Boating,293,17
"Participating in Sports, Exercise, or Recreation",Working out,306,17
"Participating in Sports, Exercise, or Recreation",Fencing,310,17
"Participating in Sports, Exercise, or Recreation",Fishing,325,17
"Participating in Sports, Exercise, or Recreation",Playing volleyball,342,17
"Participating in Sports, Exercise, or Recreation",Running,363,17
