classID,className,superClassID,superClassName
250,Archery,1,Participating_in_sports&Exercise&Recreation
271,Arm wrestling,1,Participating_in_sports&Exercise&Recreation
273,Assembling bicycle,11,Vehicles
276,Baking cookies,5,Food&Drink_prep.&Presentation&Clean-up
229,Ballet,2,Arts&Entertainment
90,Bathing dog,8,Animals&Pets
277,Baton twirling,1,Participating_in_sports&Exercise&Recreation
278,Beach soccer,1,Participating_in_sports&Exercise&Recreation
280,Beer pong,3,Relaxing&Leisure
247,Belly dance,2,Arts&Entertainment
281,Blow-drying hair,4,Grooming
274,BMX,1,Participating_in_sports&Exercise&Recreation
285,Braiding hair,4,Grooming
236,Breakdancing,2,Arts&Entertainment
125,Brushing hair,4,Grooming
148,Brushing teeth,4,Grooming
286,Building sandcastles,2,Arts&Entertainment
288,Bullfighting,1,Participating_in_sports&Exercise&Recreation
154,Bungee jumping,1,Participating_in_sports&Exercise&Recreation
290,Calf roping,1,Participating_in_sports&Exercise&Recreation
291,Camel ride,1,Participating_in_sports&Exercise&Recreation
292,Canoeing,1,Participating_in_sports&Exercise&Recreation
294,Capoeira,1,Participating_in_sports&Exercise&Recreation
295,Carving jack-o-lanterns,7,Interior_maintenance&Repair&Decoration
140,Cheerleading,2,Arts&Entertainment
110,Chopping wood,7,Interior_maintenance&Repair&Decoration
84,Clean and jerk,1,Participating_in_sports&Exercise&Recreation
134,Cleaning shoes,6,Housework
297,Cleaning sink,7,Interior_maintenance&Repair&Decoration
143,Cleaning windows,6,Housework
82,Cricket,1,Participating_in_sports&Exercise&Recreation
299,Croquet,1,Participating_in_sports&Exercise&Recreation
301,Cutting the grass,9,Lawn&Garden&Houseplants
302,Decorating the Christmas tree,7,Interior_maintenance&Repair&Decoration
303,Disc dog,8,Animals&Pets
92,Discus throw,1,Participating_in_sports&Exercise&Recreation
161,Dodgeball,1,Participating_in_sports&Exercise&Recreation
305,Doing crunches,1,Participating_in_sports&Exercise&Recreation
309,Doing fencing,1,Participating_in_sports&Exercise&Recreation
99,Doing karate,1,Participating_in_sports&Exercise&Recreation
70,Doing kickboxing,1,Participating_in_sports&Exercise&Recreation
243,Doing motocross,1,Participating_in_sports&Exercise&Recreation
167,Doing nails,4,Grooming
230,Doing step aerobics,1,Participating_in_sports&Exercise&Recreation
68,Drinking coffee,5,Food&Drink_prep.&Presentation&Clean-up
307,Drum corps,2,Arts&Entertainment
308,Elliptical trainer,1,Participating_in_sports&Exercise&Recreation
171,Fixing bicycle,11,Vehicles
311,Fixing the roof,12,Exterior_maintenance&Repair&Decoration
313,Fun sliding down,2,Arts&Entertainment
315,Futsal,1,Participating_in_sports&Exercise&Recreation
208,Getting a haircut,4,Grooming
214,Getting a piercing,4,Grooming
187,Getting a tattoo,4,Grooming
317,Grooming dog,8,Animals&Pets
95,Grooming horse,8,Animals&Pets
224,Hammer throw,1,Participating_in_sports&Exercise&Recreation
318,Hand car wash,11,Vehicles
232,Hand washing clothes,6,Housework
319,Hanging wallpaper,7,Interior_maintenance&Repair&Decoration
320,Having an ice cream,5,Food&Drink_prep.&Presentation&Clean-up
195,High jump,1,Participating_in_sports&Exercise&Recreation
