social,nonsocial,transitive,intransitive
Doing kickboxing,Welding,Mopping floor,Zumba
Getting a haircut,Waxing skis,Laying tile,Breakdancing
Beach soccer,Trimming branches or hedges,Painting,Long jump
Doing karate,Tumbling,Snatch,Capoeira
Tug of war,Using uneven bars,Painting furniture,Tai chi
Table soccer,Vacuuming floor,Having an ice cream,Ballet
Sumo,Using the rowing machine,Hula hoop,Kneeling
Playing blackjack,Triple jump,Drum corps,Belly dance
Rock-paper-scissors,Sharpening knives,Elliptical trainer,Rock-paper-scissors
Futsal,Washing hands,Making a cake,Doing crunches
