social,nonsocial,transitive,intransitive
Hurling,Blow-drying hair,Mopping floor,Zumba
Arm wrestling,Putting on shoes,Laying tile,Breakdancing
Beach soccer,Washing hands,Painting furniture,Capoeira
Doing karate,Brushing teeth,Sharpening knives,Tai chi
Tug of war,Ironing clothes,Cleaning windows,Ballet
Table soccer,Using uneven bars,Javelin throw,Long jump
Sumo,Using the rowing machine,Hammer throw,Kneeling
Playing blackjack,Triple jump,Playing field hockey,Doing crunches
Rock-paper-scissors,Tumbling,Volleyball,Running a marathon
Futsal,Hula hoop,Playing squash,Platform diving
