label,rt,acc,sub,session,run
-1.0,1.3772740364074707,1.0,1.0,1.0,1.0
1.0,2.441725969314575,1.0,1.0,1.0,1.0
-1.0,2.403913974761963,1.0,1.0,1.0,1.0
-1.0,2.6498630046844482,1.0,1.0,1.0,1.0
1.0,2.443899154663086,1.0,1.0,1.0,1.0
-1.0,2.8423800468444824,1.0,1.0,1.0,1.0
1.0,2.8221631050109863,0.0,1.0,1.0,1.0
1.0,2.4382688999176025,1.0,1.0,1.0,1.0
-1.0,2.2536230087280273,1.0,1.0,1.0,1.0
1.0,2.4261701107025146,1.0,1.0,1.0,1.0
1.0,2.4093871116638184,1.0,1.0,1.0,1.0
-1.0,2.366887092590332,1.0,1.0,1.0,1.0
-1.0,2.528333902359009,0.0,1.0,1.0,1.0
1.0,2.5103700160980225,1.0,1.0,1.0,1.0
-1.0,2.607882022857666,1.0,1.0,1.0,1.0
1.0,2.4008982181549072,1.0,1.0,1.0,1.0
-1.0,2.6194989681243896,1.0,1.0,1.0,1.0
1.0,2.5650670528411865,1.0,1.0,1.0,1.0
-1.0,2.3409299850463867,1.0,1.0,1.0,1.0
1.0,2.582890033721924,1.0,1.0,1.0,1.0
-1.0,2.4246280193328857,1.0,1.0,1.0,1.0
-1.0,2.721035957336426,1.0,1.0,1.0,1.0
-1.0,2.676999092102051,1.0,1.0,1.0,1.0
1.0,2.6276700496673584,1.0,1.0,1.0,1.0
1.0,2.597688913345337,1.0,1.0,1.0,1.0
-1.0,2.5168569087982178,1.0,1.0,1.0,1.0
1.0,2.3732831478118896,1.0,1.0,1.0,1.0
-1.0,2.503727912902832,1.0,1.0,1.0,1.0
-1.0,2.4964609146118164,1.0,1.0,1.0,1.0
1.0,2.4454190731048584,1.0,1.0,1.0,1.0
1.0,2.7548391819000244,1.0,1.0,1.0,1.0
-1.0,2.5718719959259033,1.0,1.0,1.0,1.0
1.0,2.4687178134918213,1.0,1.0,1.0,1.0
-1.0,2.375114917755127,1.0,1.0,1.0,1.0
1.0,2.3558390140533447,1.0,1.0,1.0,1.0
-1.0,2.340224027633667,1.0,1.0,1.0,1.0
-1.0,2.4623160362243652,1.0,1.0,1.0,1.0
-1.0,2.4578940868377686,1.0,1.0,1.0,1.0
1.0,2.47160005569458,1.0,1.0,1.0,1.0
1.0,2.550044059753418,1.0,1.0,1.0,1.0
-1.0,2.3935980796813965,1.0,1.0,1.0,1.0
-1.0,2.4722280502319336,1.0,1.0,1.0,1.0
-1.0,2.324218988418579,1.0,1.0,1.0,1.0
