label,rt,acc,sub,session,run
-1.0,2.2868447303771973,1.0,1.0,1.0,1.0
1.0,1.4551551342010498,1.0,1.0,1.0,1.0
-1.0,1.3994505405426025,1.0,1.0,1.0,1.0
1.0,1.4558100700378418,1.0,1.0,1.0,1.0
-1.0,1.5041618347167969,1.0,1.0,1.0,1.0
1.0,1.4328322410583496,1.0,1.0,1.0,1.0
-1.0,1.4251713752746582,0.0,1.0,1.0,1.0
1.0,1.4495205879211426,1.0,1.0,1.0,1.0
-1.0,1.3938758373260498,1.0,1.0,1.0,1.0
1.0,1.4182641506195068,1.0,1.0,1.0,1.0
1.0,1.394836187362671,1.0,1.0,1.0,1.0
1.0,1.6592459678649902,1.0,1.0,1.0,1.0
1.0,1.8356397151947021,1.0,1.0,1.0,1.0
-1.0,1.3398964405059814,0.0,1.0,1.0,1.0
1.0,1.4522457122802734,1.0,1.0,1.0,1.0
1.0,1.4448909759521484,1.0,1.0,1.0,1.0
-1.0,1.5893795490264893,0.0,1.0,1.0,1.0
1.0,1.4136261940002441,1.0,1.0,1.0,1.0
-1.0,1.509958028793335,1.0,1.0,1.0,1.0
-1.0,1.462280511856079,1.0,1.0,1.0,1.0
1.0,1.390979290008545,1.0,1.0,1.0,1.0
-1.0,1.471327304840088,0.0,1.0,1.0,1.0
-1.0,1.4637386798858643,1.0,1.0,1.0,1.0
-1.0,1.4000072479248047,0.0,1.0,1.0,1.0
1.0,1.3843920230865479,1.0,1.0,1.0,1.0
-1.0,1.441105604171753,1.0,1.0,1.0,1.0
1.0,1.6893882751464844,1.0,1.0,1.0,1.0
-1.0,1.5298080444335938,1.0,1.0,1.0,1.0
1.0,1.5614230632781982,1.0,1.0,1.0,1.0
1.0,1.4897372722625732,1.0,1.0,1.0,1.0
1.0,1.4424443244934082,1.0,1.0,1.0,1.0
-1.0,1.5468518733978271,1.0,1.0,1.0,1.0
1.0,1.6030614376068115,1.0,1.0,1.0,1.0
1.0,1.7234222888946533,1.0,1.0,1.0,1.0
-1.0,1.5478236675262451,0.0,1.0,1.0,1.0
-1.0,1.420485496520996,1.0,1.0,1.0,1.0
-1.0,1.5409159660339355,1.0,1.0,1.0,1.0
1.0,1.3092241287231445,1.0,1.0,1.0,1.0
-1.0,1.5974912643432617,1.0,1.0,1.0,1.0
1.0,1.3499104976654053,1.0,1.0,1.0,1.0
-1.0,1.4066290855407715,1.0,1.0,1.0,1.0
1.0,1.5029172897338867,1.0,1.0,1.0,1.0
-1.0,1.4232056140899658,0.0,1.0,1.0,1.0
1.0,1.7195186614990234,1.0,1.0,1.0,1.0
-1.0,1.3600029945373535,0.0,1.0,1.0,1.0
-1.0,1.5126686096191406,1.0,1.0,1.0,1.0
1.0,1.553032398223877,1.0,1.0,1.0,1.0
1.0,1.3932640552520752,1.0,1.0,1.0,1.0
-1.0,1.5296342372894287,1.0,1.0,1.0,1.0
1.0,1.2419540882110596,1.0,1.0,1.0,1.0
-1.0,1.5867362022399902,1.0,1.0,1.0,1.0
1.0,1.4429652690887451,1.0,1.0,1.0,1.0
1.0,1.4993696212768555,1.0,1.0,1.0,1.0
-1.0,1.3476707935333252,1.0,1.0,1.0,1.0
-1.0,1.6679902076721191,1.0,1.0,1.0,1.0
1.0,1.3566908836364746,1.0,1.0,1.0,1.0
-1.0,1.4610164165496826,1.0,1.0,1.0,1.0
-1.0,1.573371171951294,1.0,1.0,1.0,1.0
1.0,1.445727825164795,1.0,1.0,1.0,1.0
1.0,1.6541614532470703,1.0,1.0,1.0,1.0
-1.0,1.382760763168335,1.0,1.0,1.0,1.0
-1.0,1.6391892433166504,1.0,1.0,1.0,1.0
1.0,1.4635441303253174,1.0,1.0,1.0,1.0
-1.0,1.3998706340789795,0.0,1.0,1.0,1.0
-1.0,1.6241514682769775,1.0,1.0,1.0,1.0
-1.0,1.528963327407837,0.0,1.0,1.0,1.0
1.0,1.5851731300354004,1.0,1.0,1.0,1.0
-1.0,1.785480260848999,1.0,1.0,1.0,1.0
-1.0,1.641869068145752,1.0,1.0,1.0,1.0
1.0,1.4174745082855225,1.0,1.0,1.0,1.0
-1.0,1.426234483718872,0.0,1.0,1.0,1.0
-1.0,1.4185736179351807,1.0,1.0,1.0,1.0
-1.0,1.4029104709625244,1.0,1.0,1.0,1.0
-1.0,1.5631747245788574,1.0,1.0,1.0,1.0
-1.0,1.4836037158966064,1.0,1.0,1.0,1.0
-1.0,1.3642911911010742,1.0,1.0,1.0,1.0
-1.0,1.3966283798217773,1.0,1.0,1.0,1.0
1.0,1.756960391998291,1.0,1.0,1.0,1.0
1.0,1.333226203918457,1.0,1.0,1.0,1.0
-1.0,1.4616422653198242,1.0,1.0,1.0,1.0
-1.0,1.798321008682251,1.0,1.0,1.0,1.0
1.0,1.614748239517212,1.0,1.0,1.0,1.0
1.0,1.5269336700439453,1.0,1.0,1.0,1.0
1.0,1.5193440914154053,1.0,1.0,1.0,1.0
-1.0,1.4796569347381592,1.0,1.0,1.0,1.0
-1.0,1.5923669338226318,0.0,1.0,1.0,1.0
-1.0,1.552685022354126,1.0,1.0,1.0,1.0
-1.0,1.5050222873687744,0.0,1.0,1.0,1.0
-1.0,1.5453662872314453,1.0,1.0,1.0,1.0
1.0,1.673675298690796,1.0,1.0,1.0,1.0
-1.0,1.394329309463501,1.0,1.0,1.0,1.0
-1.0,1.474733591079712,1.0,1.0,1.0,1.0
1.0,1.5710875988006592,1.0,1.0,1.0,1.0
-1.0,1.4754095077514648,1.0,1.0,1.0,1.0
1.0,1.7798631191253662,1.0,1.0,1.0,1.0
-1.0,1.4363982677459717,1.0,1.0,1.0,1.0
1.0,1.4767446517944336,1.0,1.0,1.0,1.0
1.0,1.6530511379241943,1.0,1.0,1.0,1.0
1.0,1.7254383563995361,1.0,1.0,1.0,1.0
-1.0,1.3817839622497559,1.0,1.0,1.0,1.0
1.0,1.392714500427246,1.0,1.0,1.0,2.0
1.0,1.3771617412567139,1.0,1.0,1.0,2.0
-1.0,1.5054798126220703,1.0,1.0,1.0,2.0
-1.0,1.3377163410186768,1.0,1.0,1.0,2.0
-1.0,1.4020898342132568,1.0,1.0,1.0,2.0
1.0,1.3548047542572021,1.0,1.0,1.0,2.0
-1.0,1.499135971069336,1.0,1.0,1.0,2.0
1.0,1.4194748401641846,1.0,1.0,1.0,2.0
1.0,1.539729118347168,1.0,1.0,1.0,2.0
1.0,1.3961155414581299,1.0,1.0,1.0,2.0
-1.0,1.3329625129699707,1.0,1.0,1.0,2.0
-1.0,1.4291610717773438,0.0,1.0,1.0,2.0
1.0,1.2694954872131348,1.0,1.0,1.0,2.0
1.0,1.3498425483703613,1.0,1.0,1.0,2.0
1.0,1.3422296047210693,1.0,1.0,1.0,2.0
-1.0,1.4708538055419922,0.0,1.0,1.0,2.0
-1.0,1.3112027645111084,1.0,1.0,1.0,2.0
1.0,1.3595678806304932,1.0,1.0,1.0,2.0
-1.0,1.3039932250976562,1.0,1.0,1.0,2.0
-1.0,1.3362345695495605,1.0,1.0,1.0,2.0
-1.0,1.34488844871521,1.0,1.0,1.0,2.0
-1.0,1.633347749710083,0.0,1.0,1.0,2.0
-1.0,1.4177207946777344,1.0,1.0,1.0,2.0
-1.0,1.4099748134613037,1.0,1.0,1.0,2.0
-1.0,1.5383594036102295,1.0,1.0,1.0,2.0
1.0,1.4190185070037842,1.0,1.0,1.0,2.0
-1.0,1.394646167755127,0.0,1.0,1.0,2.0
1.0,1.4190528392791748,1.0,1.0,1.0,2.0
-1.0,1.3234808444976807,1.0,1.0,1.0,2.0
1.0,1.3157768249511719,1.0,1.0,1.0,2.0
-1.0,1.332395315170288,1.0,1.0,1.0,2.0
-1.0,1.716719627380371,1.0,1.0,1.0,2.0
1.0,1.3730745315551758,1.0,1.0,1.0,2.0
1.0,1.269402265548706,1.0,1.0,1.0,2.0
-1.0,1.6537704467773438,1.0,1.0,1.0,2.0
1.0,1.3823800086975098,1.0,1.0,1.0,2.0
1.0,1.6946890354156494,1.0,1.0,1.0,2.0
-1.0,1.391129970550537,0.0,1.0,1.0,2.0
-1.0,1.407595157623291,1.0,1.0,1.0,2.0
-1.0,1.4399440288543701,1.0,1.0,1.0,2.0
-1.0,1.360515832901001,1.0,1.0,1.0,2.0
-1.0,1.7288792133331299,1.0,1.0,1.0,2.0
-1.0,1.2731592655181885,0.0,1.0,1.0,2.0
-1.0,1.2815029621124268,1.0,1.0,1.0,2.0
-1.0,1.2979354858398438,0.0,1.0,1.0,2.0
-1.0,1.2985305786132812,0.0,1.0,1.0,2.0
1.0,1.354842185974121,1.0,1.0,1.0,2.0
1.0,1.2273755073547363,1.0,1.0,1.0,2.0
-1.0,1.3875513076782227,1.0,1.0,1.0,2.0
-1.0,1.3559808731079102,1.0,1.0,1.0,2.0
1.0,1.3246371746063232,1.0,1.0,1.0,2.0
1.0,1.452918529510498,1.0,1.0,1.0,2.0
-1.0,1.3813097476959229,1.0,1.0,1.0,2.0
1.0,1.3656117916107178,1.0,1.0,1.0,2.0
-1.0,1.4378845691680908,1.0,1.0,1.0,2.0
1.0,1.3665227890014648,1.0,1.0,1.0,2.0
1.0,1.334897518157959,1.0,1.0,1.0,2.0
1.0,1.3353796005249023,1.0,1.0,1.0,2.0
1.0,1.3116514682769775,1.0,1.0,1.0,2.0
-1.0,1.2880001068115234,1.0,1.0,1.0,2.0
1.0,1.2887639999389648,1.0,1.0,1.0,2.0
1.0,1.5450496673583984,1.0,1.0,1.0,2.0
-1.0,1.3533241748809814,0.0,1.0,1.0,2.0
1.0,1.3297138214111328,1.0,1.0,1.0,2.0
-1.0,1.3700520992279053,1.0,1.0,1.0,2.0
1.0,1.3226509094238281,1.0,1.0,1.0,2.0
-1.0,1.3390312194824219,1.0,1.0,1.0,2.0
-1.0,1.274838924407959,1.0,1.0,1.0,2.0
-1.0,1.371067762374878,1.0,1.0,1.0,2.0
-1.0,1.3480589389801025,1.0,1.0,1.0,2.0
1.0,1.3000941276550293,1.0,1.0,1.0,2.0
1.0,1.3805170059204102,1.0,1.0,1.0,2.0
